residue,R,leg,water_O_idx,acceptor_atom,mean_dist_A,std_dist_A,strong,stable,mechanistic
THR124,-0.7733,water_H → protein,23291,OG1,0.253,0.0,True,True,True
THR124,-0.7733,water_H → protein,19565,OG1,0.617,0.0,True,True,True
THR124,-0.7733,water_H → protein,9524,OG1,0.618,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18764,O,0.626,0.0,True,True,True
THR124,-0.7733,water_H → LCA,5630,O,0.659,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8045,O,0.745,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18290,O,0.755,0.0,True,True,True
THR124,-0.7733,water_H → protein,25004,OG1,0.773,0.0,True,True,True
THR124,-0.7733,water_H → protein,6710,OG1,0.79,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17927,O,0.79,0.0,True,True,True
THR124,-0.7733,water_H → LCA,20138,O,0.799,0.0,True,True,True
THR124,-0.7733,water_H → LCA,13685,O,0.806,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17927,O,0.807,0.0,True,True,True
THR124,-0.7733,water_H → protein,7100,OG1,0.878,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9845,O,0.889,0.0,True,True,True
THR124,-0.7733,water_H → protein,10259,OG1,0.897,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23651,O,0.909,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22013,O,0.922,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17045,O,0.973,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10163,O,0.989,0.0,True,True,True
THR124,-0.7733,water_H → LCA,12905,O,0.994,0.0,True,True,True
THR124,-0.7733,water_H → protein,3758,OG1,0.999,0.0,True,True,True
THR124,-0.7733,water_H → LCA,3872,O,1.007,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21557,O,1.028,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21848,O,1.049,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10406,O,1.057,0.0,True,True,True
THR124,-0.7733,water_H → LCA,5423,O,1.095,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4874,O,1.107,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25097,O,1.11,0.0,True,True,True
THR124,-0.7733,water_H → protein,22031,OG1,1.112,0.0,True,True,True
THR124,-0.7733,water_H → protein,27506,OG1,1.125,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18062,O,1.149,0.0,True,True,True
THR124,-0.7733,water_H → LCA,24296,O,1.171,0.0,True,True,True
THR124,-0.7733,water_H → protein,6710,OG1,1.196,0.0,True,True,True
THR124,-0.7733,water_H → LCA,13685,O,1.196,0.0,True,True,True
THR124,-0.7733,water_H → protein,18941,OG1,1.207,0.0,True,True,True
THR124,-0.7733,water_H → protein,25256,OG1,1.227,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16595,O,1.234,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7910,O,1.237,0.0,True,True,True
THR124,-0.7733,water_H → protein,9296,OG1,1.239,0.0,True,True,True
THR124,-0.7733,water_H → protein,19412,OG1,1.245,0.0,True,True,True
THR124,-0.7733,water_H → protein,24752,OG1,1.258,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26228,O,1.275,0.0,True,True,True
THR124,-0.7733,water_H → protein,7100,OG1,1.309,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10019,O,1.312,0.0,True,True,True
THR124,-0.7733,water_H → protein,10727,OG1,1.315,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15110,O,1.323,0.0,True,True,True
THR124,-0.7733,water_H → protein,23975,OG1,1.324,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26807,O,1.34,0.0,True,True,True
THR124,-0.7733,water_H → protein,20573,OG1,1.342,0.0,True,True,True
THR124,-0.7733,water_H → protein,25157,OG1,1.344,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4700,O,1.351,0.0,True,True,True
THR124,-0.7733,water_H → protein,17321,OG1,1.361,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9845,O,1.367,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15926,O,1.371,0.0,True,True,True
THR124,-0.7733,water_H → protein,26624,OG1,1.382,0.0,True,True,True
THR124,-0.7733,water_H → protein,25796,OG1,1.386,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15161,O,1.387,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16595,O,1.387,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22736,O,1.406,0.0,True,True,True
THR124,-0.7733,water_H → protein,14795,OG1,1.408,0.0,True,True,True
THR124,-0.7733,water_H → protein,25286,OG1,1.414,0.0,True,True,True
THR124,-0.7733,water_H → protein,11027,OG1,1.432,0.0,True,True,True
THR124,-0.7733,water_H → protein,11810,OG1,1.44,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25097,O,1.446,0.0,True,True,True
THR124,-0.7733,water_H → LCA,13043,O,1.455,0.0,True,True,True
THR124,-0.7733,water_H → protein,12845,OG1,1.464,0.0,True,True,True
THR124,-0.7733,water_H → LCA,27929,O,1.48,0.0,True,True,True
THR124,-0.7733,water_H → LCA,13532,O,1.486,0.0,True,True,True
